                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2999,                  2.576,                  1.384,                0.02517,                0.17311,                0.02241,                0.01195,                 2.3638,                  48.37,                 2.5713,                0.07019,              0.0033122,              0.0033122
                      2,                 1.3553,                 2.1686,                 1.4488,                0.29322,                0.32367,                0.14363,                0.10136,                  1.463,                 5.2726,                 1.8133,               0.040058,               0.006514,               0.006514
                      3,                 1.2867,                 1.9625,                 1.4092,                0.15857,                0.60419,                0.28167,                0.19553,                 1.2369,                 3.4474,                 1.6053,              0.0097947,              0.0095837,              0.0095837
                      4,                  1.224,                  1.781,                 1.3664,                0.52734,                 0.4119,                0.43249,                0.30465,                 1.2457,                 3.4294,                 1.5927,               0.009406,               0.009406,               0.009406
                      5,                 1.1798,                 1.7038,                 1.3437,                  0.512,                0.51291,                0.45384,                0.31176,                  1.172,                 3.0844,                 1.4983,               0.009208,               0.009208,               0.009208
                      6,                  1.126,                 1.5566,                 1.3092,                0.49305,                0.56511,                0.51685,                 0.3979,                 1.1072,                 2.1669,                 1.4255,                0.00901,                0.00901,                0.00901
                      7,                 1.0999,                 1.4902,                 1.2884,                 0.4514,                0.58789,                0.50482,                0.37946,                 1.0571,                 2.8288,                 1.3548,               0.008812,               0.008812,               0.008812
                      8,                 1.0742,                 1.4522,                 1.2851,                0.56688,                0.47613,                0.49824,                0.37868,                0.96422,                 2.1781,                 1.2722,               0.008614,               0.008614,               0.008614
                      9,                 1.0672,                 1.3998,                 1.2655,                0.68246,                0.60099,                0.61332,                0.49434,                 0.9458,                 2.0373,                 1.2705,               0.008416,               0.008416,               0.008416
                     10,                 1.0406,                 1.3532,                 1.2638,                0.57797,                0.64149,                0.68222,                0.51557,                 1.0061,                  1.989,                 1.3419,               0.008218,               0.008218,               0.008218
